OnHold	Id	Prewords	Keywords	Paraphrase	Example	Origin	References	Comment
	7900		blow the call	make a bad decision	Geez, did I ever blow that call. I should have taken his first offer.	Alludes to sports, in reference to an official making an apparently incorrect decision. 		
	8000		blow-by-blow (or blow by blow)	very detailed	He gave us the blow-by-blow account of his interview, much more than we needed to hear.	Alludes to boxing, where an announcer may detail every blow struck.		
	8100		blue chip	highest quality	Andy’s a blue chip recruit. She’ll add real offensive power to the team. 	Alludes to poker, where the blue chips are usually assigned the highest value.		
	8200		bob and weave	avoid attack	Andy never allowed himself to be pinned down. He bobbed and weaved beautifully on every question.	Alludes to boxing, where a competitor can bob his head and weave around as a defensive maneuver.		
	8300	a	body blow	serious damage	The committee’s decision was a body blow to their campaign for new rules.	Alludes to boxing, where a solid blow to the body can stun an opponent.		
	8400	the	body count	the total damage	The election was a complete disaster. What’s the body count?	Alludes to military battles, where the damage is measured by the count of dead and wounded.		
	8500	a	bolt from the blue	a complete surprise	Well, that was a bolt from the blue! I never expected her to show up.	Alludes to the notion that a lightning bolt may strike out of clear blue sky.		
	8600	a	bone to pick with (one)	a contentious issue to discuss with (one)	Andy, I’ve got a bone to pick with you. I thought you agreed with our strategy.			
	8700		bone up on	study	I need to bone up on my physics a bit. This problem’s got me stymied.			
	8800	the	boon docks	a very remote location	She lives in the boon docks. She has a two-hour commute each way every day!			
	8900		boots on the ground	people in place and in action	We can’t make any sales remotely in Europe. We need boots on the ground.	Alludes to the military notion that actual soldiers must be present for effectiveness in a given situation.		
	9000		born on third base and thinks (one) hit a triple	born to advantage but thinks (one) is highly accomplished	He can’t understand their difficulties, because he was born on third base and thinks he hit a triple. 	Alludes to baseball, where hitting a triple is a significant achievement.		
	9100		born with a silver spoon in (one’s) mouth	born to privilege	He was born with a silver spoon in his mouth and has never dealt with adversity.			
	9200	the 	bottom line	the main point	I don’t need to hear the whole argument. Just tell me the bottom line.	Alludes to accounting, where the bottom line in a financial statement shows the overall status of a business.		
	9300		bought the farm	died	In the old Hollywood movies the villain always bought the farm.			Usually used informally and jokingly.
	9400		brass hat	person of high authority	The brass hats have arrived, so be on your best behavior.			
**	9500		brave new world	new and different environment		Alludes to the dystopian book <b><i>Brave New World</i></b> by Aldous Huxley.		
	9600		break the bank	greatly exceed the budget	We can’t afford this house. Buying it would break the bank.			
	9700		break the ice	make the first move	Andy is really shy. It’s up to you to break the ice.			
	9800		bring down the house	cause riotous laughter	Andy is quite the performer. Her performance brought down the house.			
	9900		broke the mold	discarded the blueprint	Andy is an interesting and eccentric guy. They broke the mold after him.	Alludes to sculpture, where multiple copies of a statue can be made from a single mold.		
	10000	a	brown noser	a sycophant	Andy’s such a brown noser. She’d never disagree with the teacher.			
	10100		brownie points	ingratiation	I got some nice brownie points for sending the boss a sympathy card.			
**	10200		buck and wing					
**	10300	the	buck stops here	responsibility lies here				
	10400	(one’s)	bucket list	(one’s) list of places to go and things to see	Traveling to New Zealand has always been on my bucket list.	Alludes to the idiom <i>kick the bucket</i> to refer to dying, indicating the things one wants to do before dying.	[ { "id": "51800", "text": "kick the bucket" } ]	
**	10500		buckle down	work hard				
	10600		build castles in the air	have unrealistic hopes	Andy’s hoping for a successful startup, but I think he’s building castles in the air.			
**	10700		bull’s eye	optimal result	Nice work on that essay. Your analysis hit the bull’s eye.	grommet serving as a fair lead		
	10800		bully pulpit	position of prominence	That professor can be a bit preachy. He takes advantage of his bully pulpit much too often.			
	10900	the	bum’s rush	treatment like a bum	No, we didn’t have a reservation, but that was no reason to give us the bum’s rush.			
**	11000	a	bumper crop	a large number	The coach has a bumper crop of exciting young athletes this year.	from full glass called a \		
	11100	a	bunch of yahoos	a group of incompetents	What a bunch of yahoos! They have no idea what they’re doing.	Alludes to a race of brutes in Jonathan Swift's book <b><i>Gulliver’s Travels</i></b>.		Can also imply a group of boors.
	11200		burn (one’s) bridges	irretrievably damage a relationship	Quit your job if you have to, but there’s no reason to burn your bridges. You may work with some of these folks again.			
**	11300		burn boats					
	11400		burn the candle at both ends	exert unsustainable amounts of energy	I’ve got final exams coming up and I’m supposed to work overtime this week too, but I can’t continue burning the candle at both ends for long.			
	11500		burn the midnight oil	work many extra hours	With the trial date coming up, Andy and her assistant are burning the midnight oil, reviewing all the evidence and related cases.			
	11600	a	burr under (one’s) saddle	an annoyance	His poor attitude has been a burr under my saddle for some time now. 	Alludes to the fact that a burr or similar item under a saddle irritates and unsettles the horse.		
	11700		bury the hatchet	make peace	We’ve had our disagreements, but I think it’s time to bury the hatchet for the good of the project.	Alludes to the perhaps apocryphal tradition that Native Americans ceased hostilities by symbolically striking a tomahawk, or hatchet, into the ground.		
	11800		bush league	unprofessional	That was very poor sportsmanship, really bush league behavior.			
**	11900		bush telegraph	informal line of communication				
**	12000		bust (one’s) chops	work hard				
**	12100		bust (someone’s) chops	harangue (someone)				
	12200		butter (someone) up	behave obsequiously towards (someone)	Andy always butters up the graduate assistants, hoping for more lenient grading.			
	12300		by and large	in general	I agree with your argument by and large, but I do quibble with some of the details.	Alludes to the nautical terms for a ship that sails well in all wind directions.		
	12400		by dead reckoning	by informal calculation	We had no map or GPS. We got here by dead reckoning.			
	12500		by hook or by crook	in any manner possible	We’ll get the project done by hook or by crook.			
	12600		by the skin of (one’s) teeth	barely	We escaped the fire by the skin of our teeth.			
GroupC
	12700		call (one’s) bluff	oblige (one) to justify a claim	I don’t think Andy has the nerve to jump, so I’m calling his bluff.	Alludes to poker, where one player may believe another is bluffing and call for the hands to be shown.		
	12800		call (one) on the carpet	summon (one) for rebuke	Andy’s been seriously neglecting his work recently, so his manager called him on the carpet.			
	12900		call a spade a spade	be bluntly honest	We’re all avoiding the real issue here. Can we just call a spade a spade and get on with finding a solution?			
	13000		call an audible	quickly change plans	The restaurant’s closed, so I’m calling an audible on our dinner date.	Alludes to the practice in American football of changing the intended play with an audible signal from the quarterback at the line of scrimmage.		
	13100		call the shots	be in control	Andy’s calling the shots around here now. She just got promoted to director.	Alludes to billiards, where in some games one must call or predict one’s shots for them to count. [confirm]		
	13200	the	camel’s nose in the tent	the first breach	That first little request is the camel’s nose in the tent. You’re just opening yourself up for more.			
	13300	a	can of worms	a messy situation	You’ve exposed a real can of worms with your inquiries.			
	13400		canary in the coal mine	early warning mechanism	Melting ice caps are the canary in the coal mine on climate change.	Alludes to the mining practice of using canaries in coal mines to indicate by dying the presence of dangerous gases.		
**	13500		cannon fodder	sacrificial personnel				
**	13600		cannot (or can’t) hold a candle to (one)					
	13700	the	cards are (or deck is) stacked	situation is unfairly prearranged	The cards are stacked against Andy getting the job. He doesn’t know the right people.	Alludes to poker and other card games, where advantage can be gained by prearranging the deck.		
	13800		carpet bombing	indiscriminate and excessive force	The party leaders are on a campaign of carpet bombing. They’re not letting any transgression go unpunished.	Alludes to the military practice of indiscriminate rather than focused bombing of an enemy.		
	13900		carry (one’s) water	be servile to (one)	He’s always willing to carry the professor’s water in hopes of improving his standing.			
	14000		carry a torch for (one)	hopie for a romantic relationship with (one)	Andy’s been carrying a torch for him ever since they met.			
**	14100		carry on	continue with the job at hand		keep carrying the sails on		
**	14200		carry the mail					
**	14300		cart wheel			Probably alludes to the appearance of the spokes during the turning of a wooden cart wheel.		
	14400		carte blanche	complete freedom to act	After their last success, they’ve been given carte blanche on their next project. 	Possibly alludes to the card game <b><i>Piquet</i></b>.		
	14500		cash in (one’s) chips	take (one’s) gains and leave	I’m tired of this job. It’s time for me to cash in my chips.			
	14600		cash on the barrel head	nothing but cash	Sorry, no credit cards and no checks. We accept cash on the barrel head only.			
	14700		cat call	vocal derision	His speech was so bad that the auditorium was full of cat calls.			
	14800		cat has (one’s) tongue	(one) is inexplicably silent	Don’t you have anything to say about this? Has the cat got your tongue??			
**	14900		cat house	house of prostitution				
**	15000		cat’s cradle					
	15100	the	catbird seat	a very advantageous position	Andy’s gotten a significant inheritance. She’s sitting in the catbird seat now.			
	15200		catch (one) dead to rights	catch (one) in the act 	Andy got caught dead to rights cheating on his diet.			Often implies an illegal or forbidden act.
	15300		catch (one) red-handed	catch (one) in the act 	Andy got caught red-handed cheating on his diet.			Often implies an illegal or forbidden act.
**	15400		catch (one) with (one’s) hand in the cookie jar	catch (one) stealing				
	15500		Catch 22 (or Catch-22)	a paradoxical situation	You can’t get hired without experience, but you need experience to get hired. It’s a real Catch 22. 	Alludes to the paradoxical situation posed in Joseph Heller’s book <b><i>Catch 22</i></b>: A pilot claiming insanity in the hopes of being dismissed from flying dangerous missions demonstrates his own sanity by making the claim and therefore must continue flying.		
	15600		catch a break	get relief from back luck	It seemed like the refs were against us. We simply could not catch a break.	Possibly alludes to surfing, where a break is an obstacle in the sea that creates breaking, surfable waves.		
	15700		catch a break	get an opportunity	Andy has been a really good addition to the team. We definitely caught a break when we hired her.	Possibly alludes to surfing, where a break is an obstacle in the sea that creates breaking, surfable waves.		
	15800		catch as catch can	make the best of the situation	There’s not much to eat here. It’s catch as catch can for dinner.			
**	15900		catch the wave			surfing		
	16000		central casting	a source of stereotypical characters	He was a perfect cowboy, straight out of central casting.	Alludes to the department of a movie studio that casts actors to fill roles requiring stereotypical characters.		
	16100	the	chain of command	the layers of authority	That’s an important decision. I think we need to send it up the chain of command.			
	16200	a	chain reaction	a sequence of related events	Once Andy decided to go, there was a chain reaction of everyone else leaving one by one.	Alludes to nuclear fission, where the reaction starts small but grows in a cascading fashion.		
	16300		chalk and cheese	a mismatch	Brock and Andy are chalk and cheese; they don’t get along at all.			
**	16400		chalk up					
	16500		change (one’s) tune	change (one’s) attitude	Andy’s changed his tune since he found out she’s interested in him.			
	16600		change gears	change the approach	Our current approach obviously isn’t working. It’s time to change gears.			
	16700		change gears	change the subject	We’ve covered that subject well enough. I’d like to change gears now.			
	16800		change horses in midstream	change leadership while in crisis	They want to assign us a new manager in the middle of a big project? Why are we changing horses in midstream?	Alludes to a speech by Abraham Lincoln during his1864 re-election in which he said it is \		
	16900		changing of the guard	replacing of old personnel with newer	We’ve had a thorough changing of the guard here. Most of the original founders have retired and been replaced by younger people. 	Alludes to the sometimes elaborate protocols of changing the guards on duty at significant sites such as Buckingham Palace.		
	17000		chapter and verse	completely	Andy read the rules to us chapter and verse.			
	17100	a	cheap shot	a gratuitous insult	There was no need to mention Carey’s recent breakup. That was just a cheap shot.			
**	17200		cherry-pick	carefully selected	He cherry-picked his questions to make himself look good.			
	17300		chew the fat	engage in small talk	Oh, we’re just chewing the fat. There’s nothing important going on here.			
	17400		chicken feed	a pittance	They offered the workers a raise, but it was chicken feed.			
	17500	a	chicken-and-egg problem	a situation in which two things are interdependent for their existence	It’s a bit of a chicken-and-egg problem, isn’t it? We can’t get started without some seed money, but we can get any money without showing some progress.	Alludes to the paradoxical question \		
	17600	a	chip on (one’s) shoulder	a defensive attitude	Andy’s always had a chip on his shoulder about coming from a humble background.			
	17700		chomping at the bit	eager for action	The coach gave them a good locker-room talk and now they’re chomping at the bit.			
	17800	a	Cinderella story	a story of unexpected success	A poor girl from Sudan becomes a top fashion designer — what a Cinderella story!	Alludes to the widely told folk tale <b><i>Cinderella</i></b>.		Implies that the successful person started from a low station in life.
	17900		circle the drain	approach failure	With no new products for years and sales falling, they’re circling the drain.			
	18000		circle the wagons	prepare for defense	The lecturers are circling the wagons for a fight against the administration.	Alludes to the historical practice in the United States of circling the wagons of a wagon train in the evening for defensive purposes.		
**	18100		circular firing squad					
**	18200		clam up	refuse to talk				
	18300		clean (one’s) clock	completely defeat (one)	He thought he was good at poker, but Andy cleaned his clock.			
	18400		clean as a whistle	clean as possible	That kitchen is clean as a whistle.			
	18500	a	clean bill of health	a determination of no problems	I took my car in for a check-up and it got a clean bill of health.	Probably alludes to the historical practice of inspecting a ship newly arrived in a port to ensure that it’s not carrying contagious diseases.		
	18600	a	clean break	a complete disassociation	They divorced amicably about a year ago. It was a clean break.	Probably alludes to the practice in boxing of the referee making boxers in a clutch completely separate from each other before renewing the fight..		Implies a dissociation with no lingering complications.
	18700		clean house	get rid of existing personnel	The last venture failed so badly that they decided to clean house and start over.			
**	18800		clean sweep	complete renewal		nautical?		
	18900		clear the decks	prepare for action	I have a group of clients coming in this week, so I need to clear the decks.	Alludes to the historical practice on warships of removing extraneous objects from the decks before a battle.		
	19000		cloak-and-dagger (or cloak and dagger)	covert	She wants this to be a complete surprise, so she’s keeping her plans very cloak-and-dagger.			
	19100		close but no cigar	almost successful	His effort was close but no cigar.	Probably alludes to the tradition of a father giving out cigars on the birth of a child. 		Used jokingly.
	19200	a	close call	a near disaster	That car swerved out of the way just in time. What a close call!	Possibly alludes to the official in a sporting contest making a call in a tight situation.		
	19300	a	close shave	a near disaster	That car swerved out of the way just in time. That was a close shave!			
	19400		close the barn door after the horse has left the barn	try too late to prevent the damage	You can’t untell her secret. You’re trying to close the barn door after the horse has left the barn.			
	19500	the	coast is clear	it’s safe to proceed	It looks like the coast is clear. All the teachers are gone.			
	19600	a	cock-and-bull (or cock and bull) story	an elaborate lie	Andy gave the sergeant a real cock and bull story and he bought it!			
	19700	the	coin of the realm	accepted medium of exchange	In Congress, political favors are the coin of the realm. That’s how things get done.			
**	19800		come a cropper	fail	Andy’s horse was a heavy favorite, but he came a cropper in the homestretch.			
	19900		come off it	stop behaving like that	Oh, come off it. You’e just pretending to believe that story.			
	20000		come out of the closet	reveal (one’s) own secret	It’s no secret among his friends that Andy comes from a very poor background, but he has yet to come out of the closet.			Implies a secret perceived to be shameful.
	20100		come out swinging	attack from the start	Andy came out swinging in the debate.	Alludes to boxing, where one boxer might come out aggressively at the beginning of a round. 		
	20200	a	come-to-Jesus (or come to Jesus) meeting	a firm, corrective lecture	Andy’s boss brought her in for a little come-to-Jesus meeting, so she’s no longer fighting the project.			Implies a lecture from someone of indisputable authority.
**	20300		coming out of the woodwork	showing up in numbers	We have volunteers coming out of the woodwork here. What will we do with all of them?	insect infestation?		
	20400		connect the dots	put the evidence together	OK, team, I think we have all the data we need. Let’s connect the dots.			
	20500	a	contact sport	an unforgiving environment	Don’t let anyone tell you that academia is not a contact sport.			
	20600		cook the books	alter the accounts	He’s cooked the books for years so that he could skim a little of the profit for his family.			Implies alterations intended to create an inaccurately rosy picture.
**	20700		cool (one’s) jets					
	20800		corner the market	acquire the complete supply	Andy thinks she’s cornered the market on good ideas.			
	20900		count (one’s) chickens	prematurely assume a positive outcome	Don’t count your chickens yet. There are still some uncounted votes.			Sometimes followed by \
	21000		cover the bases	account for all considerations	This proposal will be reviewed very carefully, so we need to make sure we cover all the bases.	Probably alludes to baseball, where a baserunner must touch every base; also fielders must sometimes protect or cover every base..		
	21100		crack the whip	compel to work hard	Andy’s cracking the whip. She really wants her students to win this competition.			
	21200	a	crap shoot	an unpredictable process	There are so many strong candidates that it’s a total crap shoot as to who will win.			
	21300		critical mass	the minimal number	Critical mass for a good poker game is at least four people.	Alludes to nuclear fission, where a certain minimal amount of radioactive material is necessary to initiate the reaction.		
	21400		crocodile tears	false sympathy	Andy doesn’t really care about the refugees. Those are crocodile tears.			
	21500		cross (one’s) Rubicon	make an irrevocable commitment	Andy has crossed his Rubicon. He publicly declared his candidacy today.			Often implies that a commitment is also risky.
	21600		cross swords	clash	Andy and I never agree on anything. We seem to cross swords in every meeting.			
	21700		cross that bridge when (one) gets to it	deal with something when it arises	We don’t know what we’ll find, so we’ll just cross that bridge when we get to it.			
	21800	(one’s)	cross to bear	(one’s) responsibility	Don’t worry. Taking care of the in-laws will be my cross to bear.	Alludes to the Christian tradition that Jesus was forced to carry the cross on which he was crucified.		Implies an undesirable responsibility. Often used facetiously.
	21900		cry over spilled (or spilt) milk	lament unnecessarily	Continuing to complain about that accident is just crying over spilled milk.	old saying		
	22000		cry wolf	raise a false alarm	Andy’s just crying wolf again. To him, every cloud means a thunderstorm is coming.	Alludes to Aesop’s fable <b><i>The Boy Who Cried Wolf</i></b>.		
	22100	(one’s)	cup of tea	(one’s) preference	Spending a whole evening playing cards is just not my cup of tea.			Usually used in the negative.
	22200		curry favor	gain approval	Andy’s hoping for a promotion, so he’s doing everything he can to curry favor with the boss.			Implies approval gained by obsequious behavior. 
	22300	a	curtain call	recognition	Andy is expecting a curtain call for her hard work on this project.	Alludes to the practice in theater of performers returning to a curtained stage after the performance to have the curtain raised for further applause.		
	22400		cut (one’s) teeth on	learned (one)’s initial skills from	Andy gave me a small project to cut my teeth on.			
**	22500		cut a rug	dance well	Andy loves to dance and she can really cut a rug.			
	22600		cut and dried	straightforward	There’s no mystery to maintaining a bicycle. It’s pretty cut and dried.			
	22700		cut and run	retreat	He’s pretending to be brave, but in the end I think he’ll cut and run.	Alludes to the historical practice of a sailing ship cutting its anchor rope so as to make a quick getaway.		Implies a hasty,  unseemly retreat.
	22800		cut from the same cloth	of the same character	On first acquaintance she and Andy seem very different, but they’re really cut from the same cloth.			
**	22900		cut of (one’s) jib	(one’s) apparent [good] character	I really like the cut of his jib. I think he’ll do a good job for us.			archaic
	23000		cut the cord	make (one) independent	It’s time to cut the cord and let you work on your own.	Alludes to the practice of cutting the umbilical cord when a child is born.		
	23100		cut the mustard	do the job	Andy couldn’t cut the mustard, so she resigned.			
	23200		cut to the chase	get to the point	Please, we’ve heard enough extraneous detail. Can we cut to the chase?			
	23300		cuts no ice with	makes no impression on	Andy’s previous experience cuts no ice with the new coach. He needs to see him perform.			
GroupD
	23400	(one’s)	dance card is full	(one’s) schedule is full	My dance card is full this week. Can we meet next week instead?			
	23500		dark horse	unexpected competitor	The Wildcats were definitely the dark horse of the tournament and they’ve surprised everyone.			
**	23600		Davy Jones’ locker	the resting place of those who die at sea				
	23700	a	dead duck	targeted for elimination	Brock doesn’t know it yet, but he’s a dead duck. The other players are teaming up against him.			
	23800		dead in the water	without a future	That proposal is dead in the water. Everything about it is wrong.			
	23900		dead on arrival (or DOA)	unworthy of consideration	Given who proposed it, that idea was dead on arrival.			
**	24000	a	dead ringer	an exact likeness	A friend of mine gets double-takes all the time because he’s a dead ringer for Willie Nelson.			
	24100		deader than (or as dead as) a dormouse (or doornail)	utterly dead	That battery hasn’t a spark of life. It’s deader than a dormouse.			
	24200		deep pockets	lots of money	Insurance companies are assumed to have deep pockets, so they’re frequent targets for law suits.			
	24300		deep-six (or deep six)	discard	Those old skis weren’t even worth giving away. I deep-sixed them.	six fathoms deep		
